Borough,Date,Time,Level of Offense,Location Description,Crime Description,Latitude,Longitude,Lat_Lon
Manhattan,02/01/2023,01:00:00,FELONY,INSIDE,"LARCENY,GRAND BY DISHONEST EMP",40.752063,-73.970573,"(40.752063, -73.970573)"
Brooklyn,02/01/2023,00:00:00,MISDEMEANOR,INSIDE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",40.661678,-73.927925,"(40.661678, -73.927925)"
Manhattan,02/01/2023,13:30:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM BUILDING,UN",40.855285,-73.927552,"(40.855285, -73.927552)"
Queens,02/01/2023,15:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.697435,-73.75876,"(40.697435, -73.75876)"
Brooklyn,02/02/2023,08:30:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",40.691207,-73.984387,"(40.691207, -73.984387)"
Bronx,02/02/2023,12:00:00,FELONY,FRONT OF,"CONTROLLED SUBSTANCE,SALE 3",40.853443,-73.891534,"(40.853443, -73.891534)"
Queens,02/02/2023,23:00:00,FELONY,FRONT OF,"LARCENY,GRAND OF AUTO",40.773429,-73.782426,"(40.773429, -73.782426)"
Manhattan,02/02/2023,03:03:00,FELONY,INSIDE,"BURGLARY,COMMERCIAL,NIGHT",40.827415,-73.949731,"(40.827415, -73.949731)"
Brooklyn,02/03/2023,08:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.579697,-73.963222,"(40.579697, -73.963222)"
Manhattan,02/03/2023,03:20:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.813933,-73.952199,"(40.813933, -73.952199)"
Bronx,02/03/2023,19:42:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.834913,-73.925701,"(40.834913, -73.925701)"
Bronx,02/03/2023,22:20:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.813928,-73.908827,"(40.813928, -73.908827)"
Brooklyn,02/04/2023,13:04:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",40.674873,-73.888995,"(40.674873, -73.888995)"
Queens,02/04/2023,06:45:00,FELONY,INSIDE,"ROBBERY,PERSONAL ELECTRONIC DEVICE",40.679182,-73.74981,"(40.679182, -73.74981)"
Brooklyn,02/04/2023,12:04:00,FELONY,FRONT OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",40.683507,-73.884629,"(40.683507, -73.884629)"
Bronx,02/04/2023,19:00:00,MISDEMEANOR,FRONT OF,AGGRAVATED HARASSMENT 2,40.866026,-73.891935,"(40.866026, -73.891935)"
Bronx,02/04/2023,13:00:00,MISDEMEANOR,(null),"THEFT OF SERVICES, UNCLASSIFIE",40.82781161940969,-73.92592932593037,"(40.82781161940969, -73.92592932593037)"
Queens,02/04/2023,08:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.721007,-73.741441,"(40.721007, -73.741441)"
Queens,02/04/2023,18:00:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.665822,-73.813634,"(40.665822, -73.813634)"
Bronx,02/04/2023,20:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.81796,-73.847791,"(40.81796, -73.847791)"
Manhattan,02/05/2023,20:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",40.707145,-74.004529,"(40.707145, -74.004529)"
Brooklyn,02/05/2023,00:00:00,FELONY,INSIDE,RAPE 1,40.6984738177025,-73.917768981221,"(40.6984738177025, -73.917768981221)"
Queens,02/05/2023,12:25:00,MISDEMEANOR,FRONT OF,AGGRAVATED HARASSMENT 2,40.72893,-73.786192,"(40.72893, -73.786192)"
Queens,02/05/2023,04:45:00,FELONY,(null),"ROBBERY,OPEN AREA UNCLASSIFIED",40.71669629278308,-73.76058312857381,"(40.71669629278308, -73.76058312857381)"
Manhattan,02/06/2023,00:00:00,FELONY,INSIDE,"CONSPIRACY 4, 3",40.766896,-73.96373,"(40.766896, -73.96373)"
Manhattan,02/06/2023,00:00:00,FELONY,INSIDE,"CONSPIRACY 4, 3",40.766896,-73.96373,"(40.766896, -73.96373)"
Manhattan,02/06/2023,21:22:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.752378,-73.973274,"(40.752378, -73.973274)"
Bronx,02/06/2023,10:00:00,MISDEMEANOR,INSIDE,"SEXUAL MISCONDUCT,INTERCOURSE",40.8162058439227,-73.8960011932583,"(40.8162058439227, -73.8960011932583)"
Brooklyn,02/07/2023,18:12:00,MISDEMEANOR,(null),"CONTROLLED SUBSTANCE, POSSESSI",40.63419817278942,-74.02667944475114,"(40.63419817278942, -74.02667944475114)"
Brooklyn,02/07/2023,00:01:00,FELONY,INSIDE,"NY STATE LAWS,UNCLASSIFIED FEL",40.675067,-73.896681,"(40.675067, -73.896681)"
Queens,02/07/2023,00:01:00,MISDEMEANOR,INSIDE,UNAUTHORIZED USE VEHICLE 3,40.74238,-73.937835,"(40.74238, -73.937835)"
Brooklyn,02/07/2023,22:00:00,MISDEMEANOR,INSIDE,OBSTR BREATH/CIRCUL,40.692982,-73.950409,"(40.692982, -73.950409)"
Brooklyn,02/07/2023,17:00:00,FELONY,INSIDE,"BURGLARY,RESIDENCE,UNKNOWN TIM",40.657188,-73.948801,"(40.657188, -73.948801)"
Queens,02/07/2023,14:00:00,FELONY,INSIDE,"PERJURY 2,1,ETC",40.712206,-73.825952,"(40.712206, -73.825952)"
Brooklyn,02/07/2023,15:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT OF LICENSE PLATE",40.667524,-73.864248,"(40.667524, -73.864248)"
