Borough,Date,Time,Level of Offense,Location Description,Crime Description,Latitude,Longitude,Lat_Lon
Bronx,05/18/2023,20:20:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.862368,-73.896509,"(40.862368, -73.896509)"
Queens,05/18/2023,17:25:00,FELONY,FRONT OF,"FRAUD,UNCLASSIFIED-FELONY",40.6908,-73.747693,"(40.6908, -73.747693)"
Manhattan,05/19/2023,06:45:00,FELONY,OUTSIDE,(null),40.74320531395647,-73.97996038469351,"(40.74320531395647, -73.97996038469351)"
Staten Island,05/19/2023,00:01:00,FELONY,INSIDE,RAPE 1,40.5742856881925,-74.1059144051212,"(40.5742856881925, -74.1059144051212)"
Manhattan,05/20/2023,13:02:00,FELONY,(null),"TAMPERING 1,CRIMINAL",40.714054587119456,-73.99018838205971,"(40.714054587119456, -73.99018838205971)"
Queens,05/21/2023,09:00:00,FELONY,INSIDE,(null),40.789395,-73.844196,"(40.789395, -73.844196)"
Bronx,05/21/2023,00:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.839425,-73.849316,"(40.839425, -73.849316)"
Brooklyn,05/21/2023,10:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",40.59742,-73.938412,"(40.59742, -73.938412)"
Queens,05/21/2023,18:00:00,MISDEMEANOR,(null),"LARCENY,PETIT OF LICENSE PLATE",40.71108514795207,-73.77797129729993,"(40.71108514795207, -73.77797129729993)"
Manhattan,05/22/2023,14:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",40.705622,-74.011453,"(40.705622, -74.011453)"
Brooklyn,05/22/2023,08:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",40.605481,-73.978186,"(40.605481, -73.978186)"
Brooklyn,05/22/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND BY DISHONEST EMP",40.698026,-73.975285,"(40.698026, -73.975285)"
Queens,05/22/2023,00:01:00,FELONY,INSIDE,RAPE 3,40.7603961392658,-73.7675025349456,"(40.7603961392658, -73.7675025349456)"
Brooklyn,05/22/2023,16:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.674359,-73.918072,"(40.674359, -73.918072)"
Brooklyn,05/22/2023,07:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT BY CREDIT CARD U",40.67302,-73.874791,"(40.67302, -73.874791)"
Queens,05/22/2023,08:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT OF LICENSE PLATE",40.748593,-73.885048,"(40.748593, -73.885048)"
Manhattan,05/23/2023,21:15:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.756259,-73.990501,"(40.756259, -73.990501)"
Queens,05/23/2023,00:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",40.580434,-73.851577,"(40.580434, -73.851577)"
Brooklyn,05/23/2023,15:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT FROM BUILDING,UN",40.64958,-73.954439,"(40.64958, -73.954439)"
Brooklyn,05/23/2023,00:01:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.652402,-73.954337,"(40.652402, -73.954337)"
Queens,05/23/2023,09:00:00,FELONY,FRONT OF,UNAUTHORIZED USE VEHICLE 2,40.72622897560439,-73.75670287560914,"(40.72622897560439, -73.75670287560914)"
Bronx,05/24/2023,08:00:00,FELONY,INSIDE,"LARCENY,GRAND BY ACQUIRING LOS",40.84389,-73.855742,"(40.84389, -73.855742)"
Queens,05/24/2023,06:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.760649,-73.784843,"(40.760649, -73.784843)"
Staten Island,05/25/2023,21:26:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",40.511154,-74.241283,"(40.511154, -74.241283)"
Manhattan,05/25/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.783599,-73.95154,"(40.783599, -73.95154)"
Brooklyn,05/25/2023,00:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",40.645884,-73.879569,"(40.645884, -73.879569)"
Manhattan,05/25/2023,09:43:00,FELONY,INSIDE,PROMOTING A SEXUAL PERFORMANCE,40.768149,-73.962816,"(40.768149, -73.962816)"
Bronx,05/25/2023,11:40:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.862368,-73.896509,"(40.862368, -73.896509)"
Bronx,05/25/2023,19:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.862368,-73.896509,"(40.862368, -73.896509)"
Bronx,05/26/2023,03:55:00,FELONY,INSIDE,(null),40.824977,-73.903626,"(40.824977, -73.903626)"
Manhattan,05/26/2023,10:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 1,CIVILIAN",40.75325,-73.987199,"(40.75325, -73.987199)"
Queens,05/26/2023,20:00:00,MISDEMEANOR,(null),"LARCENY,PETIT FROM OPEN AREAS,",40.74744047568427,-73.88578891484492,"(40.74744047568427, -73.88578891484492)"
Queens,05/26/2023,12:55:00,FELONY,INSIDE,STRANGULATION 1ST,40.595261,-73.756724,"(40.595261, -73.756724)"
Manhattan,05/29/2023,19:00:00,MISDEMEANOR,(null),"LARCENY,PETIT BY CHECK USE",40.794808485294155,-73.9444068205819,"(40.794808485294155, -73.9444068205819)"
Bronx,05/29/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",40.821366,-73.879867,"(40.821366, -73.879867)"
Manhattan,05/30/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",40.764452,-73.997071,"(40.764452, -73.997071)"
Brooklyn,05/30/2023,14:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.655978,-73.954721,"(40.655978, -73.954721)"
Brooklyn,05/30/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",40.57818,-73.952142,"(40.57818, -73.952142)"
Bronx,05/30/2023,18:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",40.875303,-73.847545,"(40.875303, -73.847545)"
Queens,05/30/2023,12:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.665054,-73.752629,"(40.665054, -73.752629)"
Queens,05/30/2023,00:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.684045,-73.748851,"(40.684045, -73.748851)"
Queens,05/31/2023,13:06:00,VIOLATION,REAR OF,"HARASSMENT,SUBD 1,CIVILIAN",40.579851,-73.833185,"(40.579851, -73.833185)"
Brooklyn,05/31/2023,12:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.703083,-73.958474,"(40.703083, -73.958474)"
Bronx,05/31/2023,19:50:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.862368,-73.896509,"(40.862368, -73.896509)"
Bronx,05/31/2023,00:01:00,MISDEMEANOR,INSIDE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",40.880543,-73.853293,"(40.880543, -73.853293)"
Bronx,05/31/2023,19:59:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.862368,-73.896509,"(40.862368, -73.896509)"
Staten Island,06/01/2023,12:00:00,FELONY,(null),"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.54928844464632,-74.17193851983696,"(40.54928844464632, -74.17193851983696)"
Manhattan,06/01/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.788659,-73.975232,"(40.788659, -73.975232)"
Manhattan,06/01/2023,10:00:00,FELONY,INSIDE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",40.775304,-73.957598,"(40.775304, -73.957598)"
Brooklyn,06/01/2023,01:00:00,MISDEMEANOR,INSIDE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",40.625536,-73.998407,"(40.625536, -73.998407)"
Staten Island,06/01/2023,09:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM BUILDING,UN",40.634795,-74.154967,"(40.634795, -74.154967)"
Brooklyn,06/01/2023,14:22:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",40.635194,-73.946925,"(40.635194, -73.946925)"
Staten Island,06/01/2023,08:00:00,MISDEMEANOR,REAR OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",40.551466,-74.167275,"(40.551466, -74.167275)"
Brooklyn,06/01/2023,08:00:00,FELONY,FRONT OF,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",40.647312,-73.954169,"(40.647312, -73.954169)"
Manhattan,06/01/2023,16:00:00,FELONY,INSIDE,"BURGLARY,COMMERCIAL,UNKNOWN TI",40.713944,-73.991455,"(40.713944, -73.991455)"
Staten Island,06/01/2023,08:15:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM BUILDING,UN",40.594256,-74.110284,"(40.594256, -74.110284)"
Bronx,06/01/2023,00:01:00,FELONY,INSIDE,RAPE 2,40.8378421209284,-73.9196277517392,"(40.8378421209284, -73.9196277517392)"
Staten Island,06/01/2023,09:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM BUILDING,UN",40.639106,-74.079939,"(40.639106, -74.079939)"
Queens,06/01/2023,00:00:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.7434812638841,-73.8740035373971,"(40.7434812638841, -73.8740035373971)"
Manhattan,06/01/2023,20:44:00,FELONY,(null),"TAMPERING 1,CRIMINAL",40.748289726324444,-73.98817669911575,"(40.748289726324444, -73.98817669911575)"
Queens,06/01/2023,14:10:00,FELONY,INSIDE,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",40.709392,-73.79792,"(40.709392, -73.79792)"
Manhattan,06/01/2023,17:00:00,VIOLATION,FRONT OF,"HARASSMENT,SUBD 3,4,5",40.811743,-73.950861,"(40.811743, -73.950861)"
Brooklyn,06/01/2023,00:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.685621,-73.962253,"(40.685621, -73.962253)"
Brooklyn,06/01/2023,07:00:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.656093,-73.939076,"(40.656093, -73.939076)"
Bronx,06/01/2023,11:00:00,MISDEMEANOR,FRONT OF,AGGRAVATED HARASSMENT 2,40.8565767275976,-73.8438936779283,"(40.8565767275976, -73.8438936779283)"
Queens,06/01/2023,08:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.752982,-73.901042,"(40.752982, -73.901042)"
Bronx,06/01/2023,02:00:00,FELONY,INSIDE,COURSE OF SEXUAL CONDUCT AGAIN,40.8873136344706,-73.8472717577564,"(40.8873136344706, -73.8472717577564)"
Queens,06/01/2023,00:06:00,VIOLATION,FRONT OF,"HARASSMENT,SUBD 3,4,5",40.774097,-73.931431,"(40.774097, -73.931431)"
Bronx,06/01/2023,00:01:00,MISDEMEANOR,(null),ASSAULT 3,40.840225853367535,-73.91768268616491,"(40.840225853367535, -73.91768268616491)"
Bronx,06/01/2023,12:00:00,FELONY,INSIDE,RAPE 1,40.8565767275976,-73.8438936779283,"(40.8565767275976, -73.8438936779283)"
Queens,06/01/2023,12:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT OF LICENSE PLATE",40.613089,-73.820178,"(40.613089, -73.820178)"
Queens,06/01/2023,00:00:00,FELONY,INSIDE,SEXUAL ABUSE,40.6799807384666,-73.7762339071953,"(40.6799807384666, -73.7762339071953)"
Queens,06/01/2023,00:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.694869,-73.851906,"(40.694869, -73.851906)"
Queens,06/01/2023,06:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.67648,-73.837063,"(40.67648, -73.837063)"
Brooklyn,06/02/2023,14:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.693862,-73.993681,"(40.693862, -73.993681)"
Bronx,06/02/2023,09:00:00,FELONY,INSIDE,BAIL JUMPING 1 & 2,40.825869,-73.919357,"(40.825869, -73.919357)"
Manhattan,06/02/2023,04:00:00,MISDEMEANOR,FRONT OF,PETIT LARCENY-CHECK FROM MAILB,40.858795,-73.931549,"(40.858795, -73.931549)"
Queens,06/02/2023,11:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT OF LICENSE PLATE",40.662764,-73.756618,"(40.662764, -73.756618)"
Queens,06/02/2023,10:00:00,VIOLATION,FRONT OF,"HARASSMENT,SUBD 3,4,5",40.728424,-73.864782,"(40.728424, -73.864782)"
Manhattan,06/03/2023,09:00:00,FELONY,INSIDE,"LARCENY,GRAND BY THEFT OF CREDIT CARD",40.784573,-73.971717,"(40.784573, -73.971717)"
Manhattan,06/03/2023,10:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM OPEN AREAS,",40.856714,-73.930915,"(40.856714, -73.930915)"
Queens,06/03/2023,03:30:00,MISDEMEANOR,(null),ASSAULT 3,40.74662177632851,-73.89358932134706,"(40.74662177632851, -73.89358932134706)"
Queens,06/03/2023,08:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.694853,-73.781787,"(40.694853, -73.781787)"
Bronx,06/03/2023,12:00:00,VIOLATION,FRONT OF,"HARASSMENT,SUBD 3,4,5",40.854969,-73.831383,"(40.854969, -73.831383)"
Manhattan,06/04/2023,13:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.805469,-73.950884,"(40.805469, -73.950884)"
Brooklyn,06/04/2023,10:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.635207,-73.96234,"(40.635207, -73.96234)"
Brooklyn,06/04/2023,17:00:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",40.663438,-73.8922,"(40.663438, -73.8922)"
Bronx,06/05/2023,15:30:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",40.860003,-73.888172,"(40.860003, -73.888172)"
Bronx,06/05/2023,12:00:00,FELONY,INSIDE,UNAUTHORIZED USE VEHICLE 2,40.887049,-73.867793,"(40.887049, -73.867793)"
Brooklyn,06/06/2023,21:40:00,FELONY,INSIDE,"LARCENY,GRAND BY ACQUIRING LOS",40.687351,-73.985915,"(40.687351, -73.985915)"
Manhattan,06/06/2023,15:14:00,MISDEMEANOR,FRONT OF,PETIT LARCENY-CHECK FROM MAILB,40.82516,-73.949519,"(40.82516, -73.949519)"
Manhattan,06/07/2023,12:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.781874,-73.959122,"(40.781874, -73.959122)"
Manhattan,06/08/2023,00:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT BY CHECK USE",40.817876,-73.939965,"(40.817876, -73.939965)"
Manhattan,06/08/2023,23:59:00,FELONY,INSIDE,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",40.777326,-73.98068,"(40.777326, -73.98068)"
Queens,06/08/2023,12:00:00,FELONY,(null),"FORGERY,ETC.,UNCLASSIFIED-FELO",40.727588,-73.81995,"(40.727588, -73.81995)"
Manhattan,06/08/2023,11:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.730422,-73.98926,"(40.730422, -73.98926)"
Bronx,06/08/2023,09:21:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.837774,-73.919455,"(40.837774, -73.919455)"
Manhattan,06/09/2023,21:49:00,FELONY,(null),"TAMPERING 1,CRIMINAL",40.714054587119456,-73.99018838205971,"(40.714054587119456, -73.99018838205971)"
Brooklyn,06/09/2023,13:58:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.670267,-73.940722,"(40.670267, -73.940722)"
Manhattan,06/09/2023,15:30:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.82062,-73.9563,"(40.82062, -73.9563)"
Manhattan,06/09/2023,12:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.806664,-73.937861,"(40.806664, -73.937861)"
Bronx,06/09/2023,12:00:00,FELONY,INSIDE,PROMOTING A SEXUAL PERFORMANCE,40.81815,-73.903538,"(40.81815, -73.903538)"
Manhattan,06/10/2023,12:00:00,FELONY,INSIDE,"NY STATE LAWS,UNCLASSIFIED FEL",40.796405,-73.963118,"(40.796405, -73.963118)"
Bronx,06/10/2023,09:00:00,FELONY,(null),"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",40.83562609642698,-73.85206886867377,"(40.83562609642698, -73.85206886867377)"
Manhattan,06/10/2023,12:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.759905,-73.98629,"(40.759905, -73.98629)"
Brooklyn,06/10/2023,17:00:00,VIOLATION,FRONT OF,"HARASSMENT,SUBD 3,4,5",40.685641,-73.980487,"(40.685641, -73.980487)"
Queens,06/10/2023,18:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.691612,-73.833498,"(40.691612, -73.833498)"
Queens,06/11/2023,17:00:00,MISDEMEANOR,(null),"ACCOSTING,FRAUDULENT",40.7565675846374,-73.8759315341335,"(40.7565675846374, -73.8759315341335)"
Queens,06/11/2023,17:54:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.770957,-73.82563,"(40.770957, -73.82563)"
Queens,06/11/2023,22:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.697745,-73.900661,"(40.697745, -73.900661)"
Brooklyn,06/12/2023,08:10:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.68900139556,-73.9450265328727,"(40.68900139556, -73.9450265328727)"
Manhattan,06/12/2023,00:00:00,FELONY,INSIDE,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",40.777889,-73.984015,"(40.777889, -73.984015)"
Brooklyn,06/12/2023,14:00:00,MISDEMEANOR,INSIDE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",40.602832,-73.952065,"(40.602832, -73.952065)"
Queens,06/12/2023,09:00:00,MISDEMEANOR,INSIDE,MATERIAL              OFFENSIV,40.744677,-73.924087,"(40.744677, -73.924087)"
Bronx,06/12/2023,21:01:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",40.804008,-73.878333,"(40.804008, -73.878333)"
Bronx,06/12/2023,11:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.862368,-73.896509,"(40.862368, -73.896509)"
Brooklyn,06/13/2023,00:00:00,MISDEMEANOR,(null),"LARCENY,PETIT OF LICENSE PLATE",40.59300136367415,-73.98872989305839,"(40.59300136367415, -73.98872989305839)"
Brooklyn,06/13/2023,20:07:00,FELONY,(null),"ASSAULT 2,1,UNCLASSIFIED",40.70842603476187,-73.95790377644676,"(40.70842603476187, -73.95790377644676)"
Brooklyn,06/13/2023,00:00:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.62789,-73.977614,"(40.62789, -73.977614)"
Staten Island,06/14/2023,16:30:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM BUILDING,UN",40.634002,-74.097827,"(40.634002, -74.097827)"
Brooklyn,06/14/2023,01:15:00,MISDEMEANOR,INSIDE,"MENACING,UNCLASSIFIED",40.67128,-73.882347,"(40.67128, -73.882347)"
Bronx,06/14/2023,08:30:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.823657,-73.836407,"(40.823657, -73.836407)"
Manhattan,06/15/2023,17:30:00,MISDEMEANOR,INSIDE,"SEXUAL ABUSE 3,2",40.7204418884676,-74.0067439741913,"(40.7204418884676, -74.0067439741913)"
Manhattan,06/15/2023,15:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.769915,-73.952985,"(40.769915, -73.952985)"
Manhattan,06/15/2023,09:00:00,FELONY,INSIDE,"MISCHIEF,CRIMINAL,    UNCL 2ND",40.754539,-73.977424,"(40.754539, -73.977424)"
Brooklyn,06/15/2023,22:00:00,FELONY,INSIDE,"ASSAULT 2,1,UNCLASSIFIED",40.697126,-73.943737,"(40.697126, -73.943737)"
Queens,06/15/2023,08:00:00,MISDEMEANOR,FRONT OF,"THEFT,RELATED OFFENSES,UNCLASS",40.736332,-73.918165,"(40.736332, -73.918165)"
Manhattan,06/15/2023,15:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.827751,-73.947626,"(40.827751, -73.947626)"
Bronx,06/15/2023,18:00:00,MISDEMEANOR,INSIDE,ASSAULT 3,40.852845,-73.907022,"(40.852845, -73.907022)"
Queens,06/15/2023,10:00:00,VIOLATION,INSIDE,"HARASSMENT,SUBD 3,4,5",40.753638,-73.876491,"(40.753638, -73.876491)"
Manhattan,06/16/2023,01:30:00,VIOLATION,(null),"HARASSMENT,SUBD 1,CIVILIAN",40.76060048095658,-73.96431417611583,"(40.76060048095658, -73.96431417611583)"
Bronx,06/16/2023,08:00:00,FELONY,FRONT OF,UNAUTHORIZED USE VEHICLE 2,40.84338,-73.924789,"(40.84338, -73.924789)"
Brooklyn,06/16/2023,07:00:00,MISDEMEANOR,(null),AGGRAVATED HARASSMENT 2,40.668673,-73.883794,"(40.668673, -73.883794)"
Brooklyn,06/16/2023,12:00:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.665131,-73.882582,"(40.665131, -73.882582)"
Queens,06/17/2023,00:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.708318,-73.914547,"(40.708318, -73.914547)"
Manhattan,06/17/2023,13:00:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.753471,-73.971011,"(40.753471, -73.971011)"
Bronx,06/17/2023,16:22:00,FELONY,(null),"FORGERY,M.V. REGISTRATION",40.868475682931894,-73.84240723446261,"(40.868475682931894, -73.84240723446261)"
Queens,06/17/2023,10:00:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.757489,-73.867017,"(40.757489, -73.867017)"
Queens,06/17/2023,09:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT OF LICENSE PLATE",40.765594,-73.825795,"(40.765594, -73.825795)"
Queens,06/17/2023,01:40:00,MISDEMEANOR,(null),ASSAULT 3,40.76360068414649,-73.77096989674654,"(40.76360068414649, -73.77096989674654)"
Manhattan,06/18/2023,10:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT BY FALSE PROMISE",40.714725,-73.992665,"(40.714725, -73.992665)"
Bronx,06/18/2023,16:40:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM STORE-SHOPL",40.862368,-73.896509,"(40.862368, -73.896509)"
Manhattan,06/19/2023,16:00:00,FELONY,INSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",40.784932,-73.953732,"(40.784932, -73.953732)"
Queens,06/19/2023,04:05:00,FELONY,INSIDE,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",40.759276,-73.928676,"(40.759276, -73.928676)"
Brooklyn,06/19/2023,03:50:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM BUILDING,UN",40.681392,-73.875696,"(40.681392, -73.875696)"
Bronx,06/19/2023,09:25:00,MISDEMEANOR,FRONT OF,ASSAULT 3,40.853232,-73.853652,"(40.853232, -73.853652)"
Staten Island,06/20/2023,15:00:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",40.595564,-74.06652,"(40.595564, -74.06652)"
Brooklyn,06/20/2023,13:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",40.639611,-73.989142,"(40.639611, -73.989142)"
Staten Island,06/20/2023,00:01:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT BY CHECK USE",40.546329,-74.151975,"(40.546329, -74.151975)"
Manhattan,06/20/2023,12:00:00,MISDEMEANOR,INSIDE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",40.816033,-73.948516,"(40.816033, -73.948516)"
Manhattan,06/20/2023,08:00:00,FELONY,INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",40.712911,-73.995788,"(40.712911, -73.995788)"
Manhattan,06/20/2023,08:00:00,FELONY,INSIDE,"LARCENY,GRAND BY DISHONEST EMP",40.728499,-74.004221,"(40.728499, -74.004221)"
Staten Island,06/20/2023,09:00:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",40.634726,-74.109346,"(40.634726, -74.109346)"
Brooklyn,06/20/2023,07:00:00,FELONY,FRONT OF,"FRAUD,UNCLASSIFIED-FELONY",40.598102,-74.003527,"(40.598102, -74.003527)"
Manhattan,06/20/2023,11:54:00,FELONY,(null),"TAMPERING 1,CRIMINAL",40.75099078334884,-73.99062326583427,"(40.75099078334884, -73.99062326583427)"
Manhattan,06/20/2023,14:00:00,MISDEMEANOR,INSIDE,AGGRAVATED HARASSMENT 2,40.855082,-73.938335,"(40.855082, -73.938335)"
Brooklyn,06/20/2023,10:21:00,FELONY,INSIDE,"FRAUD,UNCLASSIFIED-FELONY",40.655867,-73.912754,"(40.655867, -73.912754)"
Bronx,06/20/2023,00:00:00,FELONY,INSIDE,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",40.831534,-73.862079,"(40.831534, -73.862079)"
Staten Island,06/21/2023,11:30:00,VIOLATION,FRONT OF,"HARASSMENT,SUBD 3,4,5",40.559914,-74.181466,"(40.559914, -74.181466)"
Manhattan,06/21/2023,08:00:00,FELONY,INSIDE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",40.790592,-73.939361,"(40.790592, -73.939361)"
Brooklyn,06/21/2023,10:00:00,FELONY,INSIDE,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",40.648922,-73.919425,"(40.648922, -73.919425)"
Manhattan,06/21/2023,10:00:00,VIOLATION,(null),"HARASSMENT,SUBD 3,4,5",40.745300550365585,-73.9868455439137,"(40.745300550365585, -73.9868455439137)"
Manhattan,06/21/2023,16:00:00,FELONY,FRONT OF,"LARCENY,GRAND OF BICYCLE",40.821853,-73.942638,"(40.821853, -73.942638)"
Bronx,06/21/2023,09:30:00,MISDEMEANOR,FRONT OF,"LARCENY,PETIT OF LICENSE PLATE",40.817348,-73.90933,"(40.817348, -73.90933)"
Manhattan,06/22/2023,12:10:00,MISDEMEANOR,(null),AGGRAVATED HARASSMENT 2,40.729941636389114,-73.99735889095514,"(40.729941636389114, -73.99735889095514)"
Staten Island,06/22/2023,23:59:00,MISDEMEANOR,INSIDE,UNAUTHORIZED USE VEHICLE 3,40.640274,-74.134809,"(40.640274, -74.134809)"
