Borough,Date,Event Type,Event Location,Level of Offense,Crime Description
Queens,12/14/2023,Sport - Youth,College Point Fields,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Queens,12/14/2023,Sport - Youth,College Point Fields,FELONY,"LARCENY,GRAND OF AUTO"
Queens,12/15/2023,Special Event,Playground Twenty One,FELONY,UNAUTHORIZED USE VEHICLE 2
Queens,12/16/2023,Sport - Adult,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Queens,12/16/2023,Sport - Adult,Astoria Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Queens,12/19/2023,Special Event,Athens Square,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Queens,12/24/2023,Sport - Adult,Frank Principe Park / Maurice Park,FELONY,CRIMINAL CONTEMPT 1
Queens,12/25/2023,Special Event,Travers Park,MISDEMEANOR,LEAVING SCENE-ACCIDENT-PERSONA
Queens,12/27/2023,Sport - Adult,Astoria Park,FELONY,"LARCENY,GRAND OF AUTO"
Queens,12/27/2023,Sport - Adult,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Queens,12/28/2023,Sport - Adult,Astoria Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Queens,12/28/2023,Sport - Adult,Astoria Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Queens,12/29/2023,Sport - Youth,Murray Playground,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Queens,12/31/2023,Special Event,Cunningham Park,FELONY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE"
Queens,12/31/2023,Special Event,Cunningham Park,FELONY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"
Staten Island,07/18/2023,Special Event,Clove Lakes Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER"
Staten Island,09/20/2023,Special Event,Ocean Breeze Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Staten Island,09/25/2023,Sport - Adult,Fairview Park,MISDEMEANOR,"ADM.CODE,UNCLASSIFIED MISDEMEA"
Staten Island,10/01/2023,Special Event,Conference House Park,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Staten Island,10/16/2023,Sport - Youth,Markham Playground,MISDEMEANOR,ASSAULT 3
Staten Island,10/25/2023,Special Event,Grandview Playground (The Big Park),FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Staten Island,11/01/2023,Sport - Youth,Cpl. Thompson Park,FELONY,CRIMINAL CONTEMPT 1
Staten Island,11/11/2023,Special Event,LaTourette Park & Golf Course,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Staten Island,11/23/2023,Special Event,Clove Lakes Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Staten Island,11/29/2023,Special Event,Naples Playground,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Staten Island,11/29/2023,Special Event,Naples Playground,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Staten Island,12/01/2023,Special Event,LaTourette Park & Golf Course,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Staten Island,12/12/2023,Sport - Youth,Fairview Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Staten Island,12/15/2023,Sport - Youth,Blood Root Valley,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3
Staten Island,12/18/2023,Special Event,Naples Playground,MISDEMEANOR,LEAVING SCENE-ACCIDENT-PERSONA
Staten Island,12/19/2023,Sport - Youth,Gen. Douglas MacArthur Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Staten Island,12/24/2023,Sport - Youth,Freshkills Park,MISDEMEANOR,ASSAULT 3
Staten Island,12/27/2023,Sport - Youth,Freshkills Park,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Staten Island,12/27/2023,Sport - Youth,Freshkills Park,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Staten Island,12/29/2023,Sport - Youth,Bloomingdale Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Staten Island,12/31/2023,Special Event,Conference House Park,FELONY,STRANGULATION 1ST
Bronx,01/30/2023,Special Event,Franz Sigel Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,02/10/2023,Special Event,St. James Park,MISDEMEANOR,ASSAULT 3
Bronx,05/14/2023,Sport - Adult,Haffen Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,05/24/2023,Special Event,Van Cortlandt Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOS"
Bronx,06/05/2023,Sport - Youth,Van Cortlandt Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Bronx,07/31/2023,Special Event,Ferry Point Park,FELONY,"TAMPERING 1,CRIMINAL"
Bronx,08/26/2023,Special Event,Hunts Point Riverside Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,09/14/2023,Special Event,St. Mary's Park,FELONY,UNAUTHORIZED USE VEHICLE 2
Bronx,09/21/2023,Special Event,Hunts PointPlayground,MISDEMEANOR,LEAVING SCENE-ACCIDENT-PERSONA
Bronx,09/23/2023,Special Event,Pelham Bay Park and Orchard Beach,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,09/27/2023,Special Event,Concrete Plant Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,10/01/2023,Sport - Adult,Crotona Park,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Bronx,10/01/2023,Sport - Adult,Crotona Park,FELONY,RAPE 3
Bronx,10/04/2023,Sport - Adult,St. Mary's Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,10/06/2023,Special Event,Hunts PointPlayground,FELONY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
Bronx,10/07/2023,Sport - Youth,Bronx Park,FELONY,"LARCENY,GRAND FROM STORE-SHOPL"
Bronx,10/17/2023,Sport - Youth,Crotona Park,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Bronx,10/17/2023,Sport - Youth,Crotona Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,10/17/2023,Sport - Youth,Crotona Park,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Bronx,10/18/2023,Sport - Youth,Colgate Close,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,10/19/2023,Sport - Youth,Ferry Point Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,10/20/2023,Sport - Adult,Van Cortlandt Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Bronx,10/23/2023,Special Event,City Island Wetlands,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Bronx,10/30/2023,Special Event,Ferry Point Park,MISDEMEANOR,UNLAWFUL DISCLOSURE OF AN INTIMATE IMAGE
Bronx,10/31/2023,Sport - Youth,Behagen Playground,MISDEMEANOR,"PUBLIC ADMINISTATION,UNCLASS M"
Bronx,10/31/2023,Sport - Youth,Behagen Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,11/01/2023,Sport - Youth,Bicentennial Veterans Memorial Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Bronx,11/06/2023,Sport - Youth,Marble Hill Playground,MISDEMEANOR,"FORGERY,ETC.-MISD."
Bronx,11/13/2023,Sport - Adult,St. Mary's Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,11/15/2023,Sport - Youth,Mapes Park,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES"
Bronx,11/16/2023,Sport - Youth,Ferry Point Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,11/19/2023,Sport - Youth,Ferry Point Park,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Bronx,11/27/2023,Sport - Youth,Field Of Dreams Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Bronx,11/28/2023,Sport - Youth,Ambrosini Field,FELONY,"FORGERY,DRIVERS LICENSE"
Bronx,11/30/2023,Sport - Youth,Field Of Dreams Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Bronx,12/01/2023,Sport - Youth,Seton Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Bronx,12/03/2023,Sport - Youth,Ferry Point Park,FELONY,"TAMPERING 1,CRIMINAL"
Bronx,12/04/2023,Sport - Youth,Macombs Dam Park,FELONY,"LARCENY,GRAND FROM PERSON,PICK"
Bronx,12/04/2023,Sport - Youth,Macombs Dam Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Bronx,12/04/2023,Sport - Youth,Macombs Dam Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Bronx,12/08/2023,Special Event,Owen F. Dolen Park,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Bronx,12/08/2023,Special Event,Owen F. Dolen Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Bronx,12/12/2023,Special Event,Hunts PointPlayground,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Bronx,12/15/2023,Sport - Youth,Marble Hill Playground,FELONY,"BURGLARY,RESIDENCE,NIGHT"
Bronx,12/18/2023,Sport - Adult,Van Cortlandt Park,FELONY,(null)
Bronx,12/19/2023,Special Event,Ferry Point Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Bronx,12/20/2023,Sport - Youth,Field Of Dreams Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Bronx,12/20/2023,Sport - Youth,Field Of Dreams Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Bronx,12/20/2023,Sport - Youth,Field Of Dreams Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,12/22/2023,Special Event,Bell Tower Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Bronx,12/23/2023,Special Event,Bell Tower Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Bronx,12/23/2023,Special Event,Bell Tower Park,MISDEMEANOR,"MENACING,UNCLASSIFIED"
Bronx,12/24/2023,Sport - Youth,Soundview Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Bronx,12/28/2023,Sport - Youth,Patterson Playground,FELONY,"ARSON 2,3,4"
Bronx,12/28/2023,Sport - Youth,Patterson Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Bronx,12/28/2023,Sport - Youth,Patterson Playground,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Bronx,12/29/2023,Sport - Youth,Patterson Playground,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Bronx,12/29/2023,Sport - Youth,Patterson Playground,FELONY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"
Bronx,12/29/2023,Sport - Youth,Patterson Playground,MISDEMEANOR,ASSAULT 3
Bronx,12/31/2023,Sport - Adult,Van Cortlandt Park,FELONY,"BURGLARY,COMMERCIAL,NIGHT"
Bronx,12/31/2023,Sport - Adult,Van Cortlandt Park,FELONY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"
Bronx,12/31/2023,Sport - Adult,Van Cortlandt Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Bronx,12/31/2023,Sport - Adult,Van Cortlandt Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,02/07/2023,Special Event,Prospect Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,04/07/2023,Special Event,Prospect Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,06/12/2023,Special Event,Owl's Head Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Brooklyn,06/27/2023,Special Event,Bill Brown Playground,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Brooklyn,07/15/2023,Special Event,Manhattan Beach Park,MISDEMEANOR,ASSAULT 3
Brooklyn,07/18/2023,Sport - Adult,Ericsson Playground (JHS 126),MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,07/23/2023,Special Event,Bensonhurst Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,07/27/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,08/01/2023,Special Event,Brownsville Recreation Center Playground,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Brooklyn,08/24/2023,Special Event,Betsy Head Park,FELONY,STRANGULATION 1ST
Brooklyn,09/05/2023,Special Event,Sunset Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,09/14/2023,Special Event,Brower Park (PS 289 - Playground Only),FELONY,"TAMPERING 1,CRIMINAL"
Brooklyn,09/27/2023,Sport - Adult,Bushwick Inlet Park,MISDEMEANOR,ASSAULT 3
Brooklyn,10/01/2023,Special Event,Canarsie Park,MISDEMEANOR,"CHILD, ENDANGERING WELFARE"
Brooklyn,10/05/2023,Sport - Adult,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,10/12/2023,Sport - Adult,Ericsson Playground (JHS 126),FELONY,SODOMY 1
Brooklyn,10/16/2023,Special Event,Calvert Vaux Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,10/26/2023,Sport - Adult,P.O. Reinaldo Salgado Playground (PS 309),FELONY,STRANGULATION 1ST
Brooklyn,10/29/2023,Special Event,Bath Playground (JHS 281),MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Brooklyn,10/31/2023,Sport - Adult,Calvert Vaux Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Brooklyn,11/03/2023,Special Event,Calvert Vaux Park,FELONY,"LARCENY,GRAND BY ACQUIRING LOS"
Brooklyn,11/03/2023,Special Event,Calvert Vaux Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Brooklyn,11/17/2023,Special Event,Irving Square Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,11/17/2023,Special Event,Irving Square Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,11/20/2023,Sport - Youth,McCarren Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,11/20/2023,Sport - Youth,McCarren Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Brooklyn,11/28/2023,Sport - Youth,Mckinley Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Brooklyn,11/28/2023,Sport - Youth,Mckinley Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/04/2023,Special Event,Carroll Park,MISDEMEANOR,"CHILD, ENDANGERING WELFARE"
Brooklyn,12/08/2023,Special Event,Brower Park (PS 289 - Playground Only),FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,12/08/2023,Special Event,Brower Park (PS 289 - Playground Only),FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Brooklyn,12/09/2023,Special Event,McLaughlin Park,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Brooklyn,12/09/2023,Special Event,McLaughlin Park,FELONY,"LARCENY,GRAND BY OPEN BANK ACCT"
Brooklyn,12/10/2023,Special Event,Park Slope Playground (PS 282),MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,12/11/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/12/2023,Special Event,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Brooklyn,12/13/2023,Special Event,Greenstreet @ Bay 54 St & Cropsey,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Brooklyn,12/14/2023,Special Event,Amersfort Park,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Brooklyn,12/14/2023,Special Event,Amersfort Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/15/2023,Special Event,Prospect Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,12/16/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES"
Brooklyn,12/17/2023,Special Event,Fort Greene Park,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Brooklyn,12/18/2023,Special Event,Underwood Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,12/19/2023,Special Event,Bushwick Inlet Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Brooklyn,12/19/2023,Special Event,Bushwick Inlet Park,MISDEMEANOR,"LARCENY,PETIT BY CHECK USE"
Brooklyn,12/20/2023,Special Event,Fort Greene Park,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Brooklyn,12/20/2023,Special Event,Fort Greene Park,MISDEMEANOR,"LARCENY,PETIT OF BICYCLE"
Brooklyn,12/22/2023,Special Event,Bushwick Inlet Park,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Brooklyn,12/23/2023,Special Event,Paerdegat Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/24/2023,Sport - Youth,Bill Brown Playground,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Brooklyn,12/24/2023,Sport - Youth,Bill Brown Playground,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/25/2023,Special Event,Herbert Von King Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Brooklyn,12/25/2023,Special Event,Herbert Von King Park,FELONY,"LARCENY,GRAND BY EXTORTION"
Brooklyn,12/25/2023,Special Event,Herbert Von King Park,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Brooklyn,12/28/2023,Sport - Youth,Dyker Beach Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,12/29/2023,Special Event,Brower Park (PS 289 - Playground Only),MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT"
Brooklyn,12/29/2023,Special Event,Brower Park (PS 289 - Playground Only),MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,FELONY,"MISCHIEF, CRIMINAL 3 & 2, OF M"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,FELONY,"ROBBERY,DWELLING"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,MISDEMEANOR,"CONTROLLED SUBSTANCE, POSSESSI"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Brooklyn,12/31/2023,Special Event,Coney Island Beach & Boardwalk,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,02/01/2023,Special Event,Bennett Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,02/05/2023,Sport - Adult,De Witt Clinton Park,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Manhattan,03/01/2023,Sport - Adult,Randall's Island Park,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Manhattan,03/02/2023,Sport - Adult,Randall's Island Park,FELONY,"PROSTITUTION 3,PROMOTING BUSIN"
Manhattan,03/14/2023,Special Event,Central Park,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Manhattan,04/13/2023,Sport - Youth,Highbridge Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,04/18/2023,Special Event,Central Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,04/19/2023,Special Event,Central Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,06/01/2023,Special Event,Bryant Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,06/03/2023,Sport - Adult,Pier 42,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Manhattan,06/21/2023,Special Event,Sutton Place Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Manhattan,06/28/2023,Special Event,Central Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,07/01/2023,Special Event,Thomas Jefferson Park,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Manhattan,07/06/2023,Sport - Adult,Inwood Hill Park,MISDEMEANOR,ASSAULT 3
Manhattan,07/20/2023,Special Event,McCaffrey Playground,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,07/26/2023,Special Event,Fred Samuel Playground,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Manhattan,08/31/2023,Special Event,Alfred E. Smith Playground,FELONY,"ROBBERY,OPEN AREA UNCLASSIFIED"
Manhattan,09/07/2023,Special Event,Richard Tucker Square,MISDEMEANOR,"SEXUAL MISCONDUCT,INTERCOURSE"
Manhattan,09/23/2023,Special Event,Central Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Manhattan,09/25/2023,Special Event,Battery Park,FELONY,"BURGLARY,RESIDENCE,DAY"
Manhattan,10/01/2023,Special Event,Chelsea Green Park,MISDEMEANOR,"NY STATE LAWS,UNCLASSIFIED MIS"
Manhattan,10/05/2023,Sport - Youth,Eugene McCabe Field,FELONY,"FRAUD,UNCLASSIFIED-FELONY"
Manhattan,10/12/2023,Sport - Adult,Central Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,10/17/2023,Sport - Adult,Randall's Island Park,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Manhattan,10/28/2023,Special Event,Washington Market Park,MISDEMEANOR,"NY STATE LAWS,UNCLASSIFIED MIS"
Manhattan,10/30/2023,Sport - Adult,Morningside Park,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
Manhattan,11/01/2023,Sport - Adult,Sara D. Roosevelt Park,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Manhattan,11/10/2023,Special Event,Riverside Park,FELONY,"FORGERY,ETC.,UNCLASSIFIED-FELO"
Manhattan,11/11/2023,Special Event,Randall's Island Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Manhattan,11/15/2023,Sport - Youth,Asser Levy Playground,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Manhattan,11/20/2023,Special Event,Damrosch Park,MISDEMEANOR,"LARCENY,PETIT BY CHECK USE"
Manhattan,11/20/2023,Special Event,Damrosch Park,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Manhattan,11/24/2023,Sport - Adult,Tanahey Playground,FELONY,CRIMINAL CONTEMPT 1
Manhattan,12/01/2023,Special Event,Montefiore SquarePark,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,12/02/2023,Special Event,St. Nicholas Park,MISDEMEANOR,"LARCENY,PETIT BY CREDIT CARD U"
Manhattan,12/04/2023,Special Event,Corporal John A. Seravalli Playground,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER"
Manhattan,12/05/2023,Special Event,Washington Square Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Manhattan,12/06/2023,Sport - Adult,Randall's Island Park,MISDEMEANOR,"LARCENY,PETIT BY CREDIT CARD U"
Manhattan,12/08/2023,Special Event,Bennett Park,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL"
Manhattan,12/08/2023,Special Event,Bennett Park,MISDEMEANOR,ASSAULT 3
Manhattan,12/09/2023,Special Event,Clement Clarke Moore Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,12/09/2023,Special Event,Clement Clarke Moore Park,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Manhattan,12/11/2023,Sport - Adult,Sara D. Roosevelt Park,FELONY,UNAUTHORIZED USE VEHICLE 2
Manhattan,12/11/2023,Sport - Adult,Sara D. Roosevelt Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,12/14/2023,Special Event,Bowling Green,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Manhattan,12/14/2023,Special Event,Bowling Green,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Manhattan,12/15/2023,Special Event,St Catherine's Park,MISDEMEANOR,COMPUTER UNAUTH. USE/TAMPER
Manhattan,12/16/2023,Special Event,Central Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Manhattan,12/16/2023,Special Event,Central Park,MISDEMEANOR,RECKLESS ENDANGERMENT 2
Manhattan,12/18/2023,Special Event,City Hall Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Manhattan,12/20/2023,Sport - Adult,Harlem River Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/21/2023,Special Event,Dante Park,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Manhattan,12/21/2023,Special Event,Dante Park,FELONY,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED"
Manhattan,12/21/2023,Special Event,Dante Park,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Manhattan,12/22/2023,Special Event,Madison Square Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
