Borough,Date,Event Type,Event Location,Level of Offense,Crime Description
Bronx,12/22/2023,Special Event,Bell Tower Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Bronx,12/23/2023,Special Event,Bell Tower Park,FELONY,"ARSON 2,3,4"
Bronx,12/25/2023,Sport - Youth,Soundview Park,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Bronx,12/25/2023,Sport - Youth,Soundview Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Bronx,12/26/2023,Special Event,Bell Tower Park,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4"
Bronx,12/27/2023,Special Event,Bell Tower Park,FELONY,"LARCENY,GRAND OF AUTO"
Bronx,12/29/2023,Sport - Youth,Patterson Playground,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Bronx,12/31/2023,Sport - Adult,Van Cortlandt Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,01/25/2023,Special Event,Leif Ericson Park,FELONY,"MISCHIEF,CRIMINAL,    UNCL 2ND"
Brooklyn,01/28/2023,Special Event,Sternberg Park (Lindsey Park),FELONY,"LARCENY,GRAND OF AUTO"
Brooklyn,01/30/2023,Special Event,Marion Hopkinson Playground,MISDEMEANOR,"SEXUAL ABUSE 3,2"
Brooklyn,06/10/2023,Special Event,Slope Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Brooklyn,06/21/2023,Special Event,Irving Square Park,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Brooklyn,07/01/2023,Special Event,Sunset Park,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Brooklyn,07/05/2023,Special Event,Calvert Vaux Park,FELONY,OBSCENE MATERIAL - UNDER 17 YE
Brooklyn,08/01/2023,Special Event,Brownsville Recreation Center Playground,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Brooklyn,08/02/2023,Special Event,Bushwick Inlet Park,MISDEMEANOR,ASSAULT 3
Brooklyn,08/11/2023,Special Event,Calvert Vaux Park,MISDEMEANOR,AGGRAVATED HARASSMENT 2
Brooklyn,08/23/2023,Special Event,McCarren Park,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Brooklyn,09/05/2023,Special Event,Sunset Park,VIOLATION,"HARASSMENT,SUBD 3,4,5"
